id,title,year,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,rtPictureURL
29,La cité des enfants perdus,1995,7,33,27,6,81,7.2,7,5,2,71,4,22420,89,http://content6.flixster.com/movie/26/78/267824_det.jpg
30,Yao a yao yao dao waipo qiao,1995,6.8,21,18,3,85,0,4,3,1,75,3.6,1061,70,http://content8.flixster.com/movie/10/90/31/10903162_det.jpg
31,Dangerous Minds,1995,4.7,37,11,26,29,5,12,5,7,41,3.1,12136,66,http://content7.flixster.com/movie/26/98/269813_det.jpg
32,Twelve Monkeys,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/10/93/02/10930244_det.jpg
33,Wings of Courage,1995,0,4,2,2,50,0,2,1,1,50,0,0,0,http://content7.flixster.com/movie/10/97/83/10978341_det.jpg
34,Babe,1995,8.2,54,53,1,98,8.2,11,11,0,100,3,22954,54,http://content7.flixster.com/movie/25/32/253205_det.jpg
35,Carrington,1995,6.2,19,9,10,47,7.4,5,4,1,80,3.5,781,68,http://content7.flixster.com/movie/28/00/280009_det.jpg
36,Dead Man Walking,1995,8.2,53,50,3,94,7.9,20,18,2,90,3.6,15450,81,http://content6.flixster.com/movie/10/88/77/10887764_det.jpg
37,Across the Sea of Time,1995,0,4,2,2,50,0,1,0,1,0,2.9,237,27,http://content6.flixster.com/movie/10/90/58/10905808_det.jpg
38,It Takes Two,1995,3.9,24,2,22,8,4.6,8,2,6,25,2.9,16311,63,http://content7.flixster.com/movie/25/74/257417_det.jpg
39,Clueless,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/85/01/10850110_det.jpg
40,"Cry, the Beloved Country",1995,7.2,13,10,3,76,0,4,3,1,75,3.5,520,66,http://content6.flixster.com/movie/10/89/59/10895996_det.jpg
41,Richard III,1995,8.1,43,41,2,95,7.6,11,10,1,90,3.7,1552,82,http://content7.flixster.com/movie/26/89/268909_det.jpg
42,Dead Presidents,1995,5.7,31,14,17,45,6.3,12,7,5,58,3.3,4475,75,http://content7.flixster.com/movie/26/95/269521_det.jpg
43,Restoration,1995,6.3,31,21,10,67,6.4,10,6,4,60,3.3,1103,56,http://content6.flixster.com/movie/27/04/270404_det.jpg
44,Mortal Kombat,1995,4.4,26,9,17,34,3.9,6,2,4,33,2.8,18291,55,http://content9.flixster.com/movie/25/63/256395_det.jpg
45,Live Free or Die Hard,2007,6.8,197,161,36,81,6.7,38,30,8,78,3.9,1145097,86,http://content8.flixster.com/movie/10/93/34/10933482_det.jpg
46,How to Make an American Quilt,1995,5.6,22,11,11,50,7.6,6,5,1,83,3.2,2626,58,http://content8.flixster.com/movie/10/86/75/10867514_det.jpg
47,Shichinin no samurai,1954,9.2,49,49,0,100,8.6,10,10,0,100,4.5,29509,97,http://content7.flixster.com/movie/39/91/08/3991085_det.jpg
48,Pocahontas,1995,6,49,27,22,55,6.6,14,10,4,71,3.2,37858,63,http://content6.flixster.com/movie/25/15/251508_det.jpg
49,When Night Is Falling,1995,5.7,16,8,8,50,0,4,1,3,25,3.9,1132,83,http://content6.flixster.com/movie/10/89/77/10897780_det.jpg
50,The Usual Suspects,1995,7.5,47,41,6,87,6.9,14,12,2,85,4.2,109588,95,http://content7.flixster.com/movie/24/63/48/2463485_det.jpg
52,Mighty Aphrodite,1995,6.7,33,25,8,75,7.2,6,4,2,66,3.3,4866,69,http://content7.flixster.com/movie/10/84/18/10841893_det.jpg
53,Lamerica,1994,8,10,9,1,90,0,1,1,0,100,3.9,239,82,http://content6.flixster.com/movie/29/78/297800_det.jpg
54,The Big Green,1995,2.8,5,0,5,0,0,1,0,1,0,2.7,2596,47,http://content7.flixster.com/movie/25/93/259305_det.jpg
55,Georgia Rule,2007,3.8,116,20,96,17,3.4,30,2,28,6,3,64056,55,http://content8.flixster.com/movie/63/82/23/6382238_det.jpg
56,Kids of the Round Table,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/85/20/10852069_det.jpg
57,Home for the Holidays,1995,6,44,28,16,63,5.7,11,5,6,45,3.4,3045,69,http://content6.flixster.com/movie/25/43/254392_det.jpg
58,Il postino,1994,7.9,25,23,2,92,0,4,4,0,100,4.1,5794,92,http://content8.flixster.com/movie/10/86/74/10867406_det.jpg
59,Le confessionnal,1995,0,1,1,0,100,0,0,0,0,0,0,0,0,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif
60,The Indian in the Cupboard,1995,6.2,19,13,6,68,0,2,1,1,50,2.7,5127,41,http://content9.flixster.com/movie/25/78/257803_det.jpg
61,Eye for an Eye,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/99/01/10990146_det.jpg
62,Mr. Holland's Opus,1995,6.7,26,19,7,73,7.5,6,5,1,83,3.5,9569,79,http://content8.flixster.com/movie/10/58/42/10584210_det.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,4.5,24,7,17,29,5.6,7,3,4,42,0,0,0,http://content8.flixster.com/movie/28/69/286926_det.jpg
64,Two If by Sea,1996,3.9,27,3,24,11,0,4,0,4,0,2.6,1608,29,http://content6.flixster.com/movie/27/80/278004_det.jpg
65,Bio-Dome,1996,1.9,21,1,20,4,2,7,0,7,0,2.6,8972,51,http://content6.flixster.com/movie/25/94/259420_det.jpg
66,Lawnmower Man 2: Beyond Cyberspace,1996,2.8,9,1,8,11,0,3,1,2,33,2.1,952,18,http://content7.flixster.com/movie/10/86/80/10868017_det.jpg
67,Two Bits,1995,5,10,4,6,40,0,4,1,3,25,3.3,685,54,http://content6.flixster.com/movie/26/66/266612_det.jpg
68,Gazon maudit,1995,6.1,10,5,5,50,0,4,1,3,25,3.4,597,58,http://content7.flixster.com/movie/27/76/277609_det.jpg
69,Friday,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content7.flixster.com/movie/10/88/03/10880345_det.jpg
70,From Dusk Till Dawn,1996,6,43,27,16,62,4.9,10,5,5,50,3.4,36073,75,http://content9.flixster.com/movie/62/82/01/6282011_det.jpg
71,Fair Game,1995,2.4,24,3,21,12,3.1,8,1,7,12,2.1,1761,16,http://content8.flixster.com/movie/27/69/276994_det.jpg
72,Kicking & Screaming,2005,5.1,137,57,80,41,5,31,12,19,38,3,14260,51,http://content9.flixster.com/movie/24/97/249715_det.jpg
73,Les misérables,1998,6.9,41,31,10,75,6.6,11,6,5,54,3.6,7310,81,http://content9.flixster.com/movie/25/51/255107_det.jpg
74,Bed of Roses,1996,5.3,14,3,11,21,5.2,5,1,4,20,3.2,3163,66,http://content9.flixster.com/movie/25/92/259203_det.jpg
75,Big Bully,1996,2.8,7,0,7,0,0,2,0,2,0,2.4,1459,23,http://content9.flixster.com/movie/26/51/265195_det.jpg
76,Screamers,1995,4.7,30,9,21,30,4.9,9,2,7,22,3,2070,45,http://content7.flixster.com/movie/27/23/272301_det.jpg
77,Nico Icon,1995,7.1,13,11,2,84,8,5,4,1,80,4,87,85,http://content9.flixster.com/movie/10/84/77/10847739_det.jpg
78,The Crossing Guard,1995,6.5,27,20,7,74,0,4,2,2,50,3.3,2170,56,http://content7.flixster.com/movie/27/69/276905_det.jpg
79,The Juror,1996,4.4,19,3,16,15,4.3,6,1,5,16,2.8,2266,39,http://content6.flixster.com/movie/27/93/279316_det.jpg
80,Badkonake sefid,1995,6.8,20,16,4,80,6.6,8,6,2,75,4,547,86,http://content9.flixster.com/movie/54/93/06/5493067_det.jpg
81,Things to Do in Denver When You're Dead,1995,4.9,27,9,18,33,5.5,5,1,4,20,3.5,3197,72,http://content8.flixster.com/movie/27/06/270606_det.jpg
82,Antonia,1995,6.5,25,16,9,64,7.8,10,9,1,90,4.2,1707,90,http://content6.flixster.com/movie/28/20/282096_det.jpg
83,Once Upon a Time... When We Were Colored,1995,7.3,14,10,4,71,7.9,5,5,0,100,3.7,414,76,http://content8.flixster.com/movie/10/92/29/10922994_det.jpg
84,Last Summer in the Hamptons,1995,5.6,15,9,6,60,0,2,2,0,100,3.3,89,47,http://content8.flixster.com/movie/92/06/07/9206078_det.jpg
85,Angels and Insects,1995,6.5,20,14,6,70,8.1,5,5,0,100,3.3,635,62,http://content6.flixster.com/movie/10/89/39/10893928_det.jpg
86,White Squall,1996,5.8,30,19,11,63,6.3,10,7,3,70,3.2,3184,62,http://content9.flixster.com/movie/10/90/52/10905259_det.jpg
87,Dunston Checks In,1996,3.8,15,1,14,6,0,4,1,3,25,2.5,2935,39,http://content8.flixster.com/movie/10/85/22/10852206_det.jpg
88,Black Sheep,2006,6.4,87,61,26,70,6.3,21,15,6,71,3.2,19454,54,http://content6.flixster.com/movie/58/07/67/5807672_det.jpg
89,Nick of Time,1995,4.6,28,8,20,28,3.8,5,0,5,0,3.1,10563,54,http://content9.flixster.com/movie/10/84/01/10840163_det.jpg
90,The Journey of August King,1995,6.2,7,4,3,57,0,2,1,1,50,3.1,286,54,http://content8.flixster.com/movie/26/54/265406_det.jpg
92,Mary Reilly,1996,4.4,41,11,30,26,4.6,9,2,7,22,2.8,3733,41,http://content6.flixster.com/movie/27/56/275628_det.jpg
93,Vampire in Brooklyn,1995,3.6,28,3,25,10,3.1,9,0,9,0,2.4,6122,37,http://content7.flixster.com/movie/10/88/64/10886457_det.jpg
94,Beautiful Girls,1996,7,46,36,10,78,6.3,14,9,5,64,3.6,4674,79,http://content7.flixster.com/movie/10/84/53/10845361_det.jpg
95,Broken Arrow,1996,5.8,29,16,13,55,6.1,6,3,3,50,2.9,12489,51,http://content6.flixster.com/movie/27/12/271208_det.jpg
96,In the Bleak Midwinter,1995,7.3,19,17,2,89,0,3,2,1,66,4.1,309,88,http://content6.flixster.com/movie/52/63/38/5263388_det.jpg
97,La haine,1995,8,14,14,0,100,0,4,4,0,100,4.3,11987,95,http://content8.flixster.com/movie/10/84/15/10841502_det.jpg
98,Going Shopping,2005,5,29,12,17,41,5,15,5,10,33,2.8,691,37,http://content8.flixster.com/movie/25/02/250226_det.jpg
99,Heidi Fleiss: Hollywood Madam,1995,7.5,7,5,2,71,8.8,5,4,1,80,3,281,46,http://content7.flixster.com/movie/30/49/304921_det.jpg
100,City Hall,1996,6.1,22,12,10,54,7,6,3,3,50,3,2730,42,http://content8.flixster.com/movie/27/59/275902_det.jpg
101,Bottle Rocket,1996,6.6,42,33,9,78,6.1,9,5,4,55,3.7,16217,80,http://content6.flixster.com/movie/26/73/267324_det.jpg
102,Mr. Wrong,1996,3.1,28,1,27,3,3.1,8,0,8,0,2.4,1544,29,http://content8.flixster.com/movie/10/92/04/10920478_det.jpg
103,Unforgettable,1996,4.4,26,6,20,23,0,4,0,4,0,3,358,36,http://content8.flixster.com/movie/11/13/35/11133586_det.jpg
104,Happy Gilmore,1996,5.5,50,29,21,58,5.1,11,4,7,36,3.7,114875,83,http://content7.flixster.com/movie/25/96/259613_det.jpg
105,The Bridges of Madison County,1995,7.2,40,36,4,90,7.9,9,9,0,100,3.6,11573,83,http://content6.flixster.com/movie/10/92/73/10927328_det.jpg
106,Keiner liebt mich,1994,6,6,4,2,66,0,1,1,0,100,4.2,161,89,http://content6.flixster.com/movie/10/89/61/10896152_det.jpg
107,Muppet Treasure Island,1996,6.1,22,15,7,68,7.4,5,4,1,80,3.2,8588,68,http://content6.flixster.com/movie/10/88/15/10881572_det.jpg
110,Braveheart,1995,7,48,37,11,77,6.7,16,12,4,75,3.8,204275,83,http://content9.flixster.com/movie/16/90/54/1690543_det.jpg
111,Taxi Driver,1976,8.7,50,49,1,98,7.7,9,8,1,88,4.1,58145,93,http://content9.flixster.com/movie/10/91/39/10913987_det.jpg
112,Hung fan kui,1995,6.4,52,41,11,78,6.5,16,13,3,81,3.1,7517,62,http://content6.flixster.com/movie/10/88/62/10886212_det.jpg
113,Before and After,1996,4.8,19,6,13,31,5.7,5,2,3,40,3,1276,39,http://content8.flixster.com/movie/26/53/265310_det.jpg
114,Margaret's Museum,1995,6.9,6,4,2,66,0,1,1,0,100,3.7,500,76,http://content7.flixster.com/movie/10/43/62/10436297_det.jpg
115,Le bonheur est dans le pré,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/91/13/10911350_det.jpg
116,Anne Frank Remembered,1995,7.8,27,26,1,96,7.6,16,15,1,93,3.7,1076,79,http://content9.flixster.com/movie/10/87/14/10871419_det.jpg
117,The Young Poisoner's Handbook,1995,7.1,13,11,2,84,0,3,3,0,100,3.7,541,79,http://content8.flixster.com/movie/52/63/47/5263478_det.jpg
118,If Lucy Fell,1996,4,26,5,21,19,4.3,9,2,7,22,3.1,1202,49,http://content7.flixster.com/movie/10/36/17/10361777_det.jpg
119,Steal Big Steal Little,1995,4.5,13,2,11,15,0,3,0,3,0,2.9,555,36,http://content9.flixster.com/movie/10/86/77/10867755_det.jpg
120,Race the Sun,1996,4.8,9,2,7,22,0,3,0,3,0,2.9,822,40,http://content7.flixster.com/movie/10/88/81/10888113_det.jpg
121,The Boys of St. Vincent,1992,8.2,6,6,0,100,0,1,1,0,100,3.5,401,77,http://content7.flixster.com/movie/11/12/44/11124449_det.jpg
122,Boomerang,1992,4.8,27,10,17,37,5.4,8,4,4,50,2.8,4751,55,http://content6.flixster.com/movie/26/81/268128_det.jpg
123,Chung Hing sam lam,1994,7.7,27,26,1,96,6.8,7,6,1,85,4.2,11068,93,http://content6.flixster.com/movie/10/85/69/10856936_det.jpg
124,L'uomo delle stelle,1995,6.5,12,9,3,75,7,5,4,1,80,3.7,543,73,http://content9.flixster.com/movie/27/57/275715_det.jpg
125,Flirting with Disaster,1996,7.4,42,36,6,85,8.5,6,6,0,100,3.3,2127,65,http://content9.flixster.com/movie/92/18/93/9218931_det.jpg
126,The Neverending Story III,1994,0,3,1,2,33,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/88/07/10880743_det.jpg
128,Jupiter's Wife,1995,0,4,3,1,75,0,1,0,1,0,0,0,0,http://content7.flixster.com/movie/10/97/52/10975293_det.jpg
129,Pie in the Sky,1996,0,2,1,1,50,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/28/42/284295_det.jpg
130,Angela's Ashes,1999,5.7,84,44,40,52,5.3,26,10,16,38,3.6,4588,79,http://content6.flixster.com/movie/10/92/31/10923132_det.jpg
131,Frankie Starlight,1995,5.8,6,4,2,66,0,1,1,0,100,3.8,133,61,http://content6.flixster.com/movie/93/50/48/9350484_det.jpg
132,The Curse of the Jade Scorpion,2001,5.2,122,55,67,45,5,36,14,22,38,3.1,4108,52,http://content6.flixster.com/movie/26/26/262600_det.jpg
134,Sonic Outlaws,1995,0,3,2,1,66,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/83/90/10839055_det.jpg
135,Down Periscope,1996,3.8,31,4,27,12,4,8,1,7,12,2.8,3851,60,http://content9.flixster.com/movie/25/41/254115_det.jpg
136,From the Journals of Jean Seberg,1995,7.6,9,9,0,100,0,3,3,0,100,4,30,75,http://content8.flixster.com/movie/10/87/54/10875446_det.jpg
137,Man of the Year,2006,4.4,141,30,111,21,5,35,11,24,31,3,29127,51,http://content9.flixster.com/movie/11/12/89/11128939_det.jpg
139,Hard Target,1993,5.2,29,14,15,48,5.6,7,4,3,57,0,0,0,http://content6.flixster.com/movie/27/33/273300_det.jpg
140,Up Close & Personal,1996,5.1,31,10,21,32,6.5,6,3,3,50,3.2,2932,63,http://content9.flixster.com/movie/25/89/258991_det.jpg
141,The Birdcage,1996,6.7,29,22,7,75,7.5,5,5,0,100,3.3,13502,75,http://content9.flixster.com/movie/26/71/267195_det.jpg
143,Gospa,1995,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
144,The Brothers McMullen,1995,7.1,34,31,3,91,7.8,6,6,0,100,3.2,1225,55,http://content8.flixster.com/movie/10/87/96/10879638_det.jpg
145,Bad Boys,1995,4.8,41,16,25,39,3.7,9,1,8,11,3.5,67658,79,http://content8.flixster.com/movie/28/27/282798_det.jpg
146,The Amazing Panda Adventure,1995,4.3,9,2,7,22,0,3,1,2,33,3,1335,46,http://content9.flixster.com/movie/11/15/28/11152831_det.jpg
147,The Basketball Diaries,1995,4.9,35,15,20,42,4.7,11,3,8,27,3.5,12119,77,http://content7.flixster.com/movie/10/93/25/10932577_det.jpg
148,An Awfully Big Adventure,1995,5.4,11,4,7,36,0,3,0,3,0,3.2,1433,55,http://content8.flixster.com/movie/10/90/97/10909738_det.jpg
149,The Moguls,2005,3.9,24,4,20,16,0,4,1,3,25,3,8865,46,http://content7.flixster.com/movie/11/13/35/11133545_det.jpg
150,Apollo 13,1995,8,51,49,2,96,7.9,11,10,1,90,3.6,30565,78,http://content7.flixster.com/movie/10/93/70/10937057_det.jpg
151,Rob Roy,1995,6.3,42,30,12,71,5.8,10,5,5,50,3.3,5253,73,http://content9.flixster.com/movie/26/89/268991_det.jpg
152,Basic Instinct 2,2006,3.1,149,10,139,6,3.2,35,1,34,2,2.5,28208,33,http://content8.flixster.com/movie/10/89/83/10898386_det.jpg
153,Batman Forever,1995,5.2,54,23,31,42,5.9,14,10,4,71,2.9,47498,42,http://content7.flixster.com/movie/55/34/97/5534977_det.jpg
154,Belle de jour,1967,8.6,36,34,2,94,7.9,9,8,1,88,4,1378,84,http://content9.flixster.com/movie/10/86/32/10863255_det.jpg
155,Beyond Rangoon,1995,5.1,30,11,19,36,5,10,4,6,40,3.5,3962,64,http://content8.flixster.com/movie/10/86/97/10869758_det.jpg
156,Blue in the Face,1995,5.5,20,9,11,45,0,3,1,2,33,3.5,1323,73,http://content8.flixster.com/movie/27/68/276818_det.jpg
157,Canadian Bacon,1995,3.3,14,2,12,14,0,2,0,2,0,2.9,3460,49,http://content7.flixster.com/movie/26/00/260017_det.jpg
158,Casper,1995,4.7,34,14,20,41,4.5,10,3,7,30,3,20672,54,http://content9.flixster.com/movie/31/28/312827_det.jpg
159,Clockers,1995,6.5,46,31,15,67,6.7,12,9,3,75,3.5,2502,74,http://content8.flixster.com/movie/10/84/06/10840642_det.jpg
160,Congo,1995,3.6,42,9,33,21,3.2,12,1,11,8,2.6,7008,34,http://content7.flixster.com/movie/25/85/258597_det.jpg
161,Crimson Tide,1995,7.4,44,38,6,86,8,10,9,1,90,3.5,11550,77,http://content7.flixster.com/movie/26/84/268417_det.jpg
162,Crumb,1994,8.3,39,37,2,94,0,4,4,0,100,4,2689,88,http://content7.flixster.com/movie/27/41/274197_det.jpg
163,Desperado,1995,6.3,38,23,15,60,5.4,10,3,7,30,3.5,23821,79,http://content6.flixster.com/movie/10/87/27/10872728_det.jpg
164,Devil in a Blue Dress,1995,7.3,50,44,6,88,7,14,11,3,78,3.3,2742,64,http://content9.flixster.com/movie/27/13/271303_det.jpg
165,Die Hard: With a Vengeance,1995,5.7,42,20,22,47,5.8,10,5,5,50,3.6,61394,83,http://content8.flixster.com/movie/10/93/34/10933486_det.jpg
166,The Doom Generation,1995,4.9,29,14,15,48,5.3,12,7,5,58,3.3,2680,64,http://content8.flixster.com/movie/10/92/11/10921130_det.jpg
167,Feast of July,1995,6.2,9,6,3,66,0,4,2,2,50,2.9,226,40,http://content8.flixster.com/movie/10/87/63/10876398_det.jpg
168,First Knight,1995,5.2,42,19,23,45,5.5,14,7,7,50,3,13290,59,http://content9.flixster.com/movie/84/22/90/8422907_det.jpg
169,Free Willy 2: The Adventure Home,1995,4.6,12,3,9,25,0,3,1,2,33,2.8,8336,53,http://content9.flixster.com/movie/26/44/264407_det.jpg
170,Hackers,1995,4.7,19,7,12,36,0,3,2,1,66,3.2,16863,66,http://content7.flixster.com/movie/25/64/256409_det.jpg
171,Jeffrey,1995,6.1,23,14,9,60,5.7,9,4,5,44,3.4,836,68,http://content7.flixster.com/movie/27/11/271117_det.jpg
172,Johnny Mnemonic,1995,3.3,28,4,24,14,4.7,5,1,4,20,2.5,7062,33,http://content7.flixster.com/movie/28/53/285317_det.jpg
173,Judge Dredd,1995,3.6,47,7,40,14,3.7,10,0,10,0,2.5,10571,35,http://content9.flixster.com/movie/27/05/270591_det.jpg
174,Jury Duty,1995,2.1,11,0,11,0,0,2,0,2,0,2.4,1843,33,http://content6.flixster.com/movie/10/50/99/10509940_det.jpg
175,Kids,1995,5,52,26,26,50,6.5,7,4,3,57,3.5,11282,78,http://content6.flixster.com/movie/10/89/38/10893852_det.jpg
176,Living in Oblivion,1995,7.4,24,21,3,87,0,2,2,0,100,3.8,1878,85,http://content6.flixster.com/movie/10/87/12/10871220_det.jpg
177,Lord of Illusions,1995,5.7,19,13,6,68,0,2,1,1,50,3,2344,51,http://content9.flixster.com/movie/28/75/287599_det.jpg
178,Love & Human Remains,1993,6.5,11,7,4,63,0,4,2,2,50,0,0,0,http://content9.flixster.com/movie/84/22/68/8422687_det.jpg
179,Mad Love,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/10/97/32/10973279_det.jpg
180,Mallrats,1995,5.4,40,21,19,52,5,9,2,7,22,3.6,40221,83,http://content6.flixster.com/movie/11/15/34/11153460_det.jpg
181,Mighty Morphin Power Rangers: The Movie,1995,4.6,19,8,11,42,5.5,8,5,3,62,2.7,5904,52,http://content8.flixster.com/movie/26/01/260110_det.jpg
182,Moonlight and Valentino,1995,4.6,13,2,11,15,0,3,0,3,0,3.1,978,51,http://content9.flixster.com/movie/10/91/91/10919195_det.jpg
183,Mute Witness,1994,6.9,19,15,4,78,7.3,6,5,1,83,3.2,644,61,http://content6.flixster.com/movie/27/75/277592_det.jpg
184,Nadja,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/89/08/10890894_det.jpg
185,The Net,1995,5.1,33,11,22,33,6.9,5,3,2,60,2.8,10933,50,http://content9.flixster.com/movie/68/77/57/6877579_det.jpg
186,Nine Months,1995,4.3,24,6,18,25,5,5,1,4,20,2.7,8930,40,http://content7.flixster.com/movie/10/91/49/10914937_det.jpg
187,Party Girl,1995,6.3,31,24,7,77,6,13,8,5,61,3.5,1243,73,http://content8.flixster.com/movie/10/85/91/10859166_det.jpg
188,The Prophecy,1995,5.2,19,8,11,42,0,1,0,1,0,3.3,5062,71,http://content6.flixster.com/movie/26/79/267992_det.jpg
189,The Reckless Moment,1949,0,3,3,0,100,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/55/32/82/5532828_det.jpg
190,Fail-Safe,1964,7.6,13,12,1,92,0,0,0,0,0,0,0,0,http://content9.flixster.com/movie/29/23/292315_det.jpg
191,The Scarlet Letter,1995,3,33,5,28,15,3.6,11,1,10,9,2.9,3493,48,http://content7.flixster.com/movie/10/86/16/10861633_det.jpg
193,Showgirls,1995,2.9,41,5,36,12,3.4,10,0,10,0,2.3,7443,35,http://content8.flixster.com/movie/28/55/285598_det.jpg
194,Smoke,1995,7.8,27,25,2,92,0,4,3,1,75,3.9,3101,88,http://content7.flixster.com/movie/27/30/273025_det.jpg
195,Something to Talk About,1995,5.3,27,10,17,37,6.5,9,5,4,55,3,6137,55,http://content8.flixster.com/movie/93/24/35/9324358_det.jpg
